1;2;4;8;16;32;64;128;256;512;1024;2048;4096;8192;16384;
2976;3139;3230;3568;4519;5882;9638;17207;33778;76216;147533;290672;707053;1435571;2857844;
308264;306837;308364;310846;310873;309729;304392;308116;314423;336885;358294;404107;536466;778670;1185766;
157922;157147;158537;160110;159862;159011;155767;156786;158683;164842;166002;168594;187827;194789;197282;
150342;149690;149827;150736;151011;150718;148625;151330;155740;172043;192292;235513;348639;583881;988484;
